exp,n,ok_legacy,ok_strict,ok_audit,acc_legacy,acc_strict,fire_all_legacy,fire_all_strict,late_fp,late_fn,response_quality,n_burst,n_per_stim,max_spikes,mode_legacy,csv
SelectivityPhaseA/EXP06_ltzone_integration/Test,8,1,1,1,4,4,0,0,0,0,ok_single,0,0,1,partial_FA,SelectivityPhaseA/EXP06_ltzone_integration/Test/SelectivityLog/results.csv
SelectivityPresynapticInhib/EXP00_baseline/Test,7,0,0,0,3,3,0,0,0,0,ok_single,0,0,1,partial_FA,SelectivityPresynapticInhib/EXP00_baseline/Test/SelectivityLog/results.csv
SelectivityPresynapticInhib/EXP00_baseline_autothr/Test,7,0,0,0,3,3,0,0,0,0,ok_single,0,0,1,partial_FA,SelectivityPresynapticInhib/EXP00_baseline_autothr/Test/SelectivityLog/results.csv
SelectivityPresynapticInhib/EXP00_baseline_margprops/Test,7,0,0,0,4,4,0,0,0,0,ok_single,0,0,1,partial_FA,SelectivityPresynapticInhib/EXP00_baseline_margprops/Test/SelectivityLog/results.csv
SelectivityPresynapticInhib/EXP01_preinh_050/Test,8,1,1,1,4,4,0,0,0,0,ok_single,0,0,1,partial_FA,SelectivityPresynapticInhib/EXP01_preinh_050/Test/SelectivityLog/results.csv
SelectivityPresynapticInhib/EXP01_preinh_050_autothr/Test,8,0,0,0,1,1,1,1,0,0,per_stim,0,8,4,fire_all,SelectivityPresynapticInhib/EXP01_preinh_050_autothr/Test/SelectivityLog/results.csv
SelectivityPresynapticInhib/EXP02_preinh_100/Test,7,0,0,0,3,3,0,0,0,0,ok_single,0,0,1,partial_FA,SelectivityPresynapticInhib/EXP02_preinh_100/Test/SelectivityLog/results.csv
SelectivityPresynapticInhib/EXP02_preinh_100_autothr/Test,8,0,0,0,1,1,1,1,0,0,per_stim,0,8,4,fire_all,SelectivityPresynapticInhib/EXP02_preinh_100_autothr/Test/SelectivityLog/results.csv
SelectivityPresynapticInhib/EXP02_preinh_100_gui_autothr/Test,8,0,0,0,1,1,1,1,0,0,per_stim,0,8,14,fire_all,SelectivityPresynapticInhib/EXP02_preinh_100_gui_autothr/Test/SelectivityLog/results.csv
SelectivityPresynapticInhib/EXP03_preinh_200/Test,7,0,0,0,4,4,0,0,0,0,ok_single,0,0,1,partial_FA,SelectivityPresynapticInhib/EXP03_preinh_200/Test/SelectivityLog/results.csv
SelectivityPresynapticInhib/EXP03_preinh_200_autothr/Test,8,0,0,0,1,1,1,1,0,0,per_stim,0,8,4,fire_all,SelectivityPresynapticInhib/EXP03_preinh_200_autothr/Test/SelectivityLog/results.csv
SelectivityPresynapticInhib/EXP04_preinh_250/Test,7,0,0,0,5,5,0,0,0,0,ok_single,0,0,1,selective,SelectivityPresynapticInhib/EXP04_preinh_250/Test/SelectivityLog/results.csv
SelectivityPresynapticInhib/EXP04_preinh_250_margprops/Test,7,0,0,0,5,5,0,0,0,0,ok_single,0,0,1,selective,SelectivityPresynapticInhib/EXP04_preinh_250_margprops/Test/SelectivityLog/results.csv
SelectivityPresynapticInhib/EXP04_preinh_250_recheck/Test,7,0,0,0,5,5,0,0,0,0,ok_single,0,0,1,selective,SelectivityPresynapticInhib/EXP04_preinh_250_recheck/Test/SelectivityLog/results.csv
SelectivityPresynapticInhib/EXP05_preinh_300/Test,7,0,0,0,4,4,0,0,0,0,ok_single,0,0,1,partial_FA,SelectivityPresynapticInhib/EXP05_preinh_300/Test/SelectivityLog/results.csv
SelectivityPresynapticInhib/EXP06_preinh_400/Test,7,0,0,0,4,4,0,0,0,0,ok_single,0,0,1,partial_FA,SelectivityPresynapticInhib/EXP06_preinh_400/Test/SelectivityLog/results.csv
SelectivityPresynapticInhib/EXP07_preinh_500/Test,7,0,0,0,4,4,0,0,0,0,ok_single,0,0,1,partial_FA,SelectivityPresynapticInhib/EXP07_preinh_500/Test/SelectivityLog/results.csv
SelectivityPresynapticInhib/EXP08_preinh_600/Test,7,0,0,0,4,4,0,0,0,0,ok_single,0,0,1,partial_FA,SelectivityPresynapticInhib/EXP08_preinh_600/Test/SelectivityLog/results.csv
SelectivityPresynapticInhib/EXP09_preinh_1000/Test,7,0,0,0,4,4,0,0,0,0,ok_single,0,0,1,partial_FA,SelectivityPresynapticInhib/EXP09_preinh_1000/Test/SelectivityLog/results.csv
SelectivityPresynapticInhib/EXP10_preinh_180/Test,7,0,0,0,4,4,0,0,0,0,ok_single,0,0,1,partial_FA,SelectivityPresynapticInhib/EXP10_preinh_180/Test/SelectivityLog/results.csv
SelectivityPresynapticInhib/EXP11_preinh_210/Test,7,0,0,0,5,5,0,0,0,0,ok_single,0,0,1,selective,SelectivityPresynapticInhib/EXP11_preinh_210/Test/SelectivityLog/results.csv
SelectivityPresynapticInhib/EXP12_preinh_220/Test,7,0,0,0,5,5,0,0,0,0,ok_single,0,0,1,selective,SelectivityPresynapticInhib/EXP12_preinh_220/Test/SelectivityLog/results.csv
SelectivityPresynapticInhib/EXP13_preinh_240/Test,7,0,0,0,4,4,0,0,0,0,ok_single,0,0,1,partial_FA,SelectivityPresynapticInhib/EXP13_preinh_240/Test/SelectivityLog/results.csv
